protname	./4-7.stats	./4-8.stats	./4-9.stats	./4-1.stats	./4-11.stats	./4-12.stats	./4-13.stats	./4-14.stats	./4-15.stats	./4-16.stats	./4-17.stats	./4-18.stats	./4-19.stats	./4-2.stats	./4-21.stats	./4-22.stats	./4-23.stats
S1	0.7531	0.825	0.6912	0.7525	0.791	0.8766	0.8919	0.8451	0.7381	0.719	0.568	0.6469	0.7859	0.821	0.877	0.811	0.7317
S2	0.3177	0.4353	0.2434	0.31915	0.4415	0.7877	0.82455	0.7492	0.557	0.477	0.3189	0.42285	0.6374	0.7264	0.7668	0.79285	0.72975
S3	0.1857	0.3481	0.16295	0.2185	0.3462	0.7568	0.823	0.72475	0.5198	0.4335	0.272	0.3845	0.5726	0.6775	0.72825	0.7611	0.6938
S4	0.1524	0.3165	0.3235	0.5178	0.6746	0.8292	0.8316	0.7519	0.5763	0.58	0.32635	0.4152	0.633	0.6916	0.7215	0.7575	0.6931
S5	0.124	0.1714	0.225	0.425	0.5927	0.821	0.835	0.758	0.57225	0.4884	0.355	0.423	0.634	0.698	0.7386	0.7646	0.6979
S6	0.282	0.3355	0.35545	0.5313	0.6723	0.8311	0.8357	0.7553	0.677	0.5527	0.3426	0.3978	0.657	0.7225	0.7344	0.7635	0.69845
S7	0.34455	0.4342	0.2635	0.2588	0.513	0.8179	0.832	0.7411	0.5485	0.4724	0.37	0.496	0.59915	0.6895	0.7292	0.75925	0.6927
S8	0.1832	0.3173	0.349	0.52655	0.67985	0.8232	0.8313	0.7511	0.5538	0.497	0.3125	0.4965	0.625	0.6915	0.7245	0.7596	0.682
S9	0.3366	0.4357	0.2141	0.282	0.593	0.8229	0.83935	0.7535	0.57345	0.51375	0.3644	0.4696	0.6215	0.713	0.7366	0.7646	0.739
S1	0.527	0.5813	0.352	0.41835	0.5364	0.7855	0.8143	0.729	0.53545	0.4517	0.2887	0.3745	0.578	0.6886	0.7325	0.7694	0.69675
S11	0.2541	0.1998	0.24455	0.4326	0.5867	0.8143	0.8283	0.74825	0.561	0.4914	0.3257	0.4256	0.653	0.6976	0.7364	0.769	0.6981
S12	0.525	0.799	0.1691	0.36225	0.51995	0.7891	0.7874	0.7322	0.52675	0.4555	0.29185	0.43	0.5932	0.6866	0.7348	0.75975	0.6854
S13	0.33445	0.4357	0.17535	0.2484	0.552	0.81945	0.83495	0.75295	0.5685	0.49725	0.34	0.4118	0.676	0.6939	0.7298	0.76	0.6975
S14	0.399	0.4417	0.5145	0.2871	0.4555	0.7945	0.8185	0.73655	0.5576	0.5636	0.37	0.4188	0.5887	0.6773	0.7198	0.76855	0.724
S15	0.52	0.554	0.3572	0.539	0.6767	0.8395	0.8372	0.7465	0.5547	0.4944	0.3247	0.3947	0.5955	0.689	0.7243	0.75315	0.6881
S16	0.1657	0.27315	0.2811	0.4914	0.6437	0.81445	0.83285	0.7419	0.55945	0.481	0.3855	0.41	0.614	0.6913	0.731	0.7626	0.6945
S17	0.2197	0.3365	0.3165	0.577	0.6699	0.8282	0.8336	0.74155	0.5693	0.496	0.3128	0.4415	0.5958	0.6887	0.7212	0.7551	0.6837
S18	0.4851	0.3462	0.3757	0.5482	0.6754	0.8377	0.8416	0.7653	0.61485	0.564	0.36335	0.4556	0.695	0.68875	0.727	0.757	0.698
S19	0.3781	0.462	0.2334	0.2919	0.5229	0.816	0.831	0.745	0.5515	0.4845	0.3237	0.448	0.6455	0.6895	0.73225	0.75255	0.6848
S2L26	0.1317	0.24765	0.27795	0.495	0.6412	0.839	0.832	0.7547	0.5619	0.4867	0.32525	0.4348	0.614	0.6926	0.7336	0.75815	0.6864
S21	0.8998	0.4315	0.161	0.647	0.21395	0.6757	0.73255	0.5999	0.37415	0.3323	0.2495	0.431	0.6595	0.69755	0.7398	0.7681	0.6966
L1	0.24335	0.39645	0.26595	0.28515	0.2676	0.1661	0.16645	0.39275	0.551	0.6135	0.6658	0.73325	0.674	0.6519	0.746	0.7418	0.6754
L2	0.1281	0.1578	0.983	0.1698	0.1688	0.1375	0.1387	0.324	0.566	0.58625	0.6736	0.73895	0.6823	0.65595	0.753	0.7443	0.67875
L3	0.1371	0.369	0.2336	0.2557	0.243	0.1545	0.1537	0.3916	0.5581	0.623	0.6767	0.7469	0.683	0.6531	0.7645	0.743	0.6795
L4	0.545	0.1248	0.9245	0.2415	0.2715	0.1886	0.1715	0.3751	0.54715	0.61995	0.6775	0.7463	0.6828	0.6541	0.7895	0.74565	0.67515
L5	0.2542	0.37475	0.268	0.272	0.2538	0.1556	0.159	0.36765	0.547	0.61195	0.6753	0.75525	0.682	0.65485	0.711	0.74625	0.6789
L6	0.23215	0.351	0.177	0.22445	0.21655	0.1231	0.951	0.17155	0.2345	0.432	0.6439	0.7367	0.6662	0.655	0.788	0.7471	0.67695
L7	0.196	0.22885	0.1416	0.22	0.292	0.13145	0.121	0.244	0.3741	0.4813	0.65565	0.74345	0.67765	0.6596	0.7186	0.74965	0.6913
L9	0.466	0.5127	0.3283	0.3588	0.34285	0.219	0.17485	0.3186	0.39675	0.4599	0.65895	0.7451	0.679	0.6587	0.7135	0.7476	0.6788
L1	0.2796	0.2325	0.1246	0.18755	0.191	0.1263	0.1191	0.2456	0.3731	0.4785	0.6534	0.744	0.6745	0.666	0.7163	0.7523	0.6889
L11	0.3135	0.3721	0.232	0.31795	0.36555	0.2379	0.297	0.465	0.5485	0.5999	0.6749	0.757	0.6821	0.6611	0.798	0.757	0.6813
L13	0.247	0.2887	0.13915	0.2546	0.372	0.214	0.1736	0.3533	0.5175	0.5945	0.6726	0.7545	0.6855	0.6518	0.7285	0.7396	0.6762
L14	0.177	0.1641	0.131	0.1483	0.15745	0.985	0.842	0.21655	0.3869	0.5362	0.663	0.7469	0.6754	0.6545	0.793	0.7466	0.6798
L15	0.149	0.819	0.465	0.13765	0.2835	0.14255	0.1322	0.2997	0.4853	0.58295	0.677	0.7519	0.6845	0.6675	0.7123	0.757	0.6871
L16	0.127	0.2865	0.188	0.1362	0.1289	0.1386	0.1552	0.1673	0.1865	0.2563	0.576	0.7214	0.664	0.6579	0.7284	0.758	0.6866
L17	0.7625	0.8337	0.7278	0.827	0.8666	0.881	0.8677	0.8899	0.9187	0.9331	0.9226	0.9295	0.91835	0.9595	0.987	0.91985	0.889
L18	0.23425	0.37785	0.271	0.2898	0.261	0.1725	0.1716	0.3796	0.5444	0.6179	0.6769	0.7344	0.684	0.6616	0.799	0.749	0.68735
L19	0.1143	0.6215	0.1255	0.1492	0.1365	0.1165	0.1142	0.324	0.4843	0.5763	0.6772	0.7427	0.6784	0.6494	0.7169	0.744	0.6769
L2	0.2878	0.273	0.29575	0.2547	0.323	0.268	0.1851	0.3821	0.5374	0.6185	0.6735	0.74515	0.68315	0.64995	0.69955	0.741	0.675
L21	0.1824	0.215	0.6875	0.22235	0.2811	0.1855	0.1653	0.3578	0.5296	0.685	0.6712	0.7533	0.6743	0.6473	0.778	0.73275	0.6715
L22	0.8995	0.9835	0.684	0.1761	0.2546	0.1942	0.1835	0.374	0.5285	0.6167	0.685	0.762	0.68285	0.6685	0.793	0.75425	0.689
L23	0.2358	0.2191	0.3976	0.1752	0.1993	0.1571	0.1698	0.325	0.526	0.692	0.6646	0.7355	0.67765	0.6469	0.76	0.741	0.67345
L24	0.2646	0.35285	0.295	0.3168	0.3781	0.2433	0.2222	0.4173	0.5752	0.6263	0.6783	0.74865	0.6828	0.65	0.734	0.7357	0.6776
L25	0.1477	0.2271	0.13855	0.164	0.1546	0.1752	0.1135	0.1692	0.2743	0.3867	0.6197	0.72855	0.6644	0.6482	0.7165	0.74535	0.6735
L27	0.1691	0.2496	0.1493	0.1932	0.1812	0.155	0.17	0.1332	0.14815	0.2489	0.615	0.7289	0.6649	0.6468	0.722	0.7358	0.678
L28	0.2599	0.3112	0.213	0.2439	0.392	0.23	0.1824	0.238	0.2633	0.4453	0.6776	0.74825	0.6831	0.6573	0.797	0.754	0.6775
L29	0.1526	0.17635		0.324	0.3235		0.211	0.38945	0.525	0.5982	0.62885	0.74135	0.678	0.6425	0.718	0.736	0.689
L3	0.37	0.35995	0.216	0.2542	0.25675	0.15	0.1825	0.169	0.2278	0.3466	0.6241	0.7287	0.6675	0.6498	0.737	0.7486	0.6896
L31	0.3655	0.4898	0.34865	0.3979	0.3822	0.2449	0.19955	0.42575	0.5888	0.6489	0.78	0.7836	0.727	0.6943	0.75495	0.787	0.71735
L32			0.62585		0.4856	0.5369	0.4437		0.3654	0.38835	0.6149	0.7275	0.6667	0.6496	0.713	0.7529	0.6858
L33	0.27245	0.34935	0.2373	0.2698	0.31265	0.213	0.1575	0.247	0.2522	0.34535	0.6336	0.72945	0.6973	0.68625	0.73845	0.76375	0.6468
L34	0.211	0.9674		0.5248	0.485	0.7353	0.423	0.944	0.33375	0.4235	0.642	0.7345	0.65615	0.642	0.6965	0.7353	0.6766
L35			0.1463	0.3489				0.69845	0.37	0.11345	0.5452	0.691	0.6655	0.66155	0.7172	0.7542	0.6814
L36		0.8132		0.727			0.4845				0.532	0.7142	0.64845	0.64825	0.71395	0.7435	0.6881
