protname	./4-07.stats	./4-08.stats	./4-09.stats	./4-10.stats	./4-11.stats	./4-12.stats	./4-13.stats	./4-14.stats	./4-15.stats	./4-16.stats	./4-17.stats	./4-18.stats	./4-19.stats	./4-20.stats	./4-21.stats	./4-22.stats	./4-23.stats
S1	0.7531	0.8205	0.6912	0.75025	0.791	0.8766	0.8919	0.8451	0.7381	0.719	0.568	0.6469	0.7859	0.821	0.8077	0.8011	0.7317
S2	0.3177	0.4353	0.2434	0.31915	0.4415	0.7877	0.82455	0.7492	0.557	0.477	0.3189	0.42285	0.6374	0.7264	0.7668	0.79285	0.72975
S3	0.1857	0.3481	0.16295	0.2185	0.3462	0.7568	0.8023	0.72475	0.5198	0.4335	0.272	0.3845	0.5726	0.6775	0.72825	0.7611	0.6938
S4	0.1524	0.30165	0.3235	0.5178	0.6746	0.8292	0.8316	0.7519	0.5763	0.508	0.32635	0.4152	0.6033	0.6916	0.7215	0.75705	0.6931
S5	0.1024	0.1714	0.22005	0.425	0.5927	0.821	0.8305	0.7508	0.57225	0.4884	0.3055	0.4203	0.6034	0.698	0.7386	0.7646	0.6979
S6	0.2082	0.3355	0.35545	0.5313	0.6723	0.8311	0.8357	0.7553	0.6077	0.5527	0.3426	0.3978	0.6057	0.70225	0.7344	0.7635	0.69845
S7	0.34455	0.4342	0.20635	0.2588	0.5013	0.8179	0.8302	0.7411	0.54805	0.4724	0.307	0.4096	0.59915	0.6895	0.7292	0.75925	0.6927
S8	0.1832	0.3173	0.3409	0.52655	0.67985	0.8232	0.8313	0.7511	0.5538	0.497	0.3125	0.40965	0.6025	0.6915	0.7245	0.7596	0.682
S9	0.3366	0.4357	0.2141	0.2802	0.5093	0.8229	0.83935	0.7535	0.57345	0.51375	0.3644	0.4696	0.62015	0.7013	0.7366	0.7646	0.7039
S10	0.5027	0.5813	0.3502	0.41835	0.5364	0.78505	0.8143	0.729	0.53545	0.4517	0.2887	0.3745	0.5708	0.6886	0.73205	0.7694	0.69675
S11	0.2541	0.1998	0.24455	0.4326	0.5867	0.8143	0.8283	0.74825	0.5601	0.4914	0.3257	0.4256	0.6053	0.6976	0.7364	0.7609	0.6981
S12	0.0525	0.0799	0.1691	0.36225	0.51995	0.7891	0.7874	0.7322	0.52675	0.4555	0.29185	0.4003	0.5932	0.6866	0.7348	0.75975	0.6854
