Name	x	y
L01	4.792406809	4.513969843
L02	2.502422719	2.542207763
L03	3.050737011	4.217758354
L04	1.164980245	4.954531403
L05	3.110750161	3.838139262
L06	3.454435062	1.550529009
L07	1.814062422	0.478081104
L09	4.424672187	1.22346476
L10	1.209551192	0.822516955
L11	2.477032584	1.479243634
L13	0.795226515	4.043017438
L14	1.945114383	2.276131726
L15	3.368488476	4.320647356
L16	2.526499926	0.775662017
L17	2.434476746	4.647680798
L18	3.087156989	3.117671066
L19	1.585983643	2.593591195
L20	0.621664154	5.68772924
L21	0.946123779	5.712889602
L22	0.387606188	5.29075406
L23	3.274174727	4.782799423
L24	0.284016959	5.897347836
L25	3.489473837	0.014160323
L27	3.825818544	0.428146485
L28	2.183945682	1.207053559
L29	1.873318266	3.482778914
L30	0.865562695	0.605920885
L31	4.86169741	0.946145597
L32	1.954605135	2.854186963
L33	3.253847683	1.554526014
L34	0.886617242	3.385994598
L35	0.046095384	0.370323987
L36	1.267514069	0.663626448
